발생경찰서,지역관서,발생일시,발생일자,월,발생시간대,요일구분,경기도,고양시,덕양구,행정동,주소,발생장소,범죄수법(발생),죄명
경기고양경찰서,행신지구대,2024-12-26 23:00:00,2024-12-26,12,23시,5-목,경기,고양시,덕양구,토당동,고양시 덕양구 토당동 99-25번지 ,유흥주점,기타(기타절도),절도
경기고양경찰서,신도지구대,2024-12-26 22:30:00,2024-12-26,12,22시,5-목,경기,고양시,덕양구,삼송동,고양시 덕양구 삼송동 291번지 ,아파트,,폭력
경기고양경찰서,화정지구대,2024-12-26 19:00:00,2024-12-26,12,19시,5-목,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 979번지 ,기타,강제추행,강간/강제추행
경기고양경찰서,행신지구대,2024-12-26 14:20:00,2024-12-26,12,14시,5-목,경기,고양시,덕양구,토당동,고양시 덕양구 토당동 343-11번지 ,기타,기타(기타절도),절도
경기고양경찰서,화전파출소,2024-12-26 14:08:00,2024-12-26,12,14시,5-목,경기,고양시,덕양구,향동동,고양시 덕양구 향동동 517번지 ,아파트,,폭력
경기고양경찰서,신도지구대,2024-12-26 04:50:00,2024-12-26,12,04시,5-목,경기,고양시,덕양구,지축동,고양시 덕양구 지축동 307번지 ,기타,,폭력
경기고양경찰서,화정지구대,2024-12-26 03:00:00,2024-12-26,12,03시,5-목,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 986-8번지 ,기타,,폭력
경기고양경찰서,신도지구대,2024-12-26 01:20:00,2024-12-26,12,01시,5-목,경기,고양시,덕양구,지축동,고양시 덕양구 지축동 307번지 ,기타,,폭력
경기고양경찰서,화전파출소,2024-12-26 00:00:00,2024-12-26,12,00시,5-목,경기,고양시,덕양구,현천동,고양시 덕양구 현천동 540-2번지 ,노상,,폭력
경기고양경찰서,화전파출소,2024-12-26 00:00:00,2024-12-26,12,00시,5-목,경기,고양시,덕양구,덕은동,고양시 덕양구 덕은동 712번지 ,노상,,폭력
경기고양경찰서,행신지구대,2024-12-25 22:00:00,2024-12-25,12,22시,4-수,경기,고양시,덕양구,행신동,고양시 덕양구 행신동 519-3번지 ,기타,,폭력
경기고양경찰서,관산파출소,2024-12-25 15:10:00,2024-12-25,12,15시,4-수,경기,고양시,덕양구,내유동,고양시 덕양구 내유동 694-18번지 ,다세대·원룸·연립가옥,,폭력
경기고양경찰서,화전파출소,2024-12-25 15:00:00,2024-12-25,12,15시,4-수,경기,고양시,덕양구,덕은동,고양시 덕양구 덕은동 12-1번지 ,고속버스,차량내들치기,절도
경기고양경찰서,화정지구대,2024-12-25 00:00:00,2024-12-25,12,00시,4-수,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 968-4번지 ,일반주점,,폭력
경기고양경찰서,행신지구대,2024-12-25 00:00:00,2024-12-25,12,00시,4-수,경기,고양시,덕양구,토당동,고양시 덕양구 토당동 848-2번지 ,기타,,폭력
경기고양경찰서,화정지구대,2024-12-24 23:30:00,2024-12-24,12,23시,3-화,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 983-1번지 ,기타,,폭력
경기고양경찰서,행신지구대,2024-12-24 22:18:00,2024-12-24,12,22시,3-화,경기,고양시,덕양구,토당동,고양시 덕양구 토당동 402번지 ,노상,기타(기타절도),절도
경기고양경찰서,행신3파출소,2024-12-24 20:05:00,2024-12-24,12,20시,3-화,경기,고양시,덕양구,행신동,고양시 덕양구 행신동 941번지 ,노상,,폭력
경기고양경찰서,화정지구대,2024-12-24 19:55:00,2024-12-24,12,19시,3-화,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 1148-1번지 ,기타,,폭력
경기고양경찰서,신도지구대,2024-12-24 12:20:00,2024-12-24,12,12시,3-화,경기,고양시,덕양구,삼송동,고양시 덕양구 삼송동 61-56번지 ,기타,,폭력
경기고양경찰서,신도지구대,2024-12-24 12:00:00,2024-12-24,12,12시,3-화,경기,고양시,덕양구,동산동,고양시 덕양구 동산동 370번지 ,대형할인매장,기타(기타절도),절도
경기고양경찰서,화전파출소,2024-12-24 10:15:00,2024-12-24,12,10시,3-화,경기,고양시,덕양구,향동동,고양시 덕양구 향동동 501번지 ,기타,,폭력
경기고양경찰서,원당지구대,2024-12-24 04:00:00,2024-12-24,12,04시,3-화,경기,고양시,덕양구,성사동,고양시 덕양구 성사동 702-1번지 ,기타,,폭력
경기고양경찰서,화정지구대,2024-12-24 03:40:00,2024-12-24,12,03시,3-화,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 1143번지 ,기타,기타(기타절도),절도
경기고양경찰서,원당지구대,2024-12-24 02:40:00,2024-12-24,12,02시,3-화,경기,고양시,덕양구,성사동,고양시 덕양구 성사동 701-2번지 ,기타,,폭력
경기고양경찰서,원당지구대,2024-12-24 02:00:00,2024-12-24,12,02시,3-화,경기,고양시,덕양구,성사동,고양시 덕양구 성사동 701-2번지 ,기타,,폭력
경기고양경찰서,화정지구대,2024-12-24 00:00:00,2024-12-24,12,00시,3-화,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 993번지 ,상점,기타(기타절도),절도
경기고양경찰서,행신지구대,2024-12-23 18:00:00,2024-12-23,12,18시,2-월,경기,고양시,덕양구,토당동,고양시 덕양구 토당동 53-31번지 ,노상,,폭력
경기고양경찰서,관산파출소,2024-12-23 17:55:00,2024-12-23,12,17시,2-월,경기,고양시,덕양구,내유동,고양시 덕양구 내유동 275-14번지 ,기타,,폭력
경기고양경찰서,신도지구대,2024-12-23 08:45:00,2024-12-23,12,08시,2-월,경기,고양시,덕양구,신원동,고양시 덕양구 신원동 616번지 ,기타,,폭력
경기고양경찰서,원당지구대,2024-12-23 05:40:00,2024-12-23,12,05시,2-월,경기,고양시,덕양구,성사동,고양시 덕양구 성사동 729번지 ,기타,자전거절도,절도
경기고양경찰서,화정지구대,2024-12-23 05:00:00,2024-12-23,12,05시,2-월,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 1148-4번지 ,기타,,폭력
경기고양경찰서,고양파출소,2024-12-23 02:50:00,2024-12-23,12,02시,2-월,경기,고양시,덕양구,고양동,고양시 덕양구 고양동 195-8번지 ,기타,강제추행,강간/강제추행
경기고양경찰서,원당지구대,2024-12-23 00:00:00,2024-12-23,12,00시,2-월,경기,고양시,덕양구,성사동,고양시 덕양구 성사동 107-5번지 ,기타,,폭력
경기고양경찰서,신도지구대,2024-12-22 20:30:00,2024-12-22,12,20시,1-일,경기,고양시,덕양구,동산동,고양시 덕양구 동산동 367번지 ,아파트,,폭력
경기고양경찰서,도래울지구대,2024-12-22 17:45:00,2024-12-22,12,17시,1-일,경기,고양시,덕양구,원흥동,고양시 덕양구 원흥동 670번지 ,기타,,폭력
경기고양경찰서,원당지구대,2024-12-22 17:10:00,2024-12-22,12,17시,1-일,경기,고양시,덕양구,성사동,고양시 덕양구 성사동 410-7번지 ,기타,,폭력
경기고양경찰서,화정지구대,2024-12-22 15:00:00,2024-12-22,12,15시,1-일,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 ,노상,,폭력
경기고양경찰서,신도지구대,2024-12-22 14:04:00,2024-12-22,12,14시,1-일,경기,고양시,덕양구,지축동,고양시 덕양구 지축동 765-195번지 ,기타,,폭력
경기고양경찰서,행신지구대,2024-12-22 02:50:00,2024-12-22,12,02시,1-일,경기,고양시,덕양구,토당동,고양시 덕양구 토당동 373-125번지 ,기타,,폭력
경기고양경찰서,원당지구대,2024-12-22 02:30:00,2024-12-22,12,02시,1-일,경기,고양시,덕양구,성사동,고양시 덕양구 성사동 700-7번지 ,기타,,폭력
경기고양경찰서,신도지구대,2024-12-22 00:00:00,2024-12-22,12,00시,1-일,경기,고양시,덕양구,동산동,고양시 덕양구 동산동 365번지 ,기타,,폭력
경기고양경찰서,신도지구대,2024-12-21 21:40:00,2024-12-21,12,21시,7-토,경기,고양시,덕양구,지축동,고양시 덕양구 지축동 1128번지 ,아파트,,폭력
경기고양경찰서,화전파출소,2024-12-21 20:00:00,2024-12-21,12,20시,7-토,경기,고양시,덕양구,덕은동,고양시 덕양구 덕은동 648-15번지 ,기타,,폭력
경기고양경찰서,행신지구대,2024-12-21 19:15:00,2024-12-21,12,19시,7-토,경기,고양시,덕양구,토당동,고양시 덕양구 토당동 862-4번지 ,기타,,폭력
경기고양경찰서,원당지구대,2024-12-21 19:09:00,2024-12-21,12,19시,7-토,경기,고양시,덕양구,주교동,고양시 덕양구 주교동 603-20번지 ,기타,기타(기타절도),절도
경기고양경찰서,도래울지구대,2024-12-21 14:00:00,2024-12-21,12,14시,7-토,경기,고양시,덕양구,원흥동,고양시 덕양구 원흥동 614번지 ,기타,,폭력
경기고양경찰서,원당지구대,2024-12-21 14:00:00,2024-12-21,12,14시,7-토,경기,고양시,덕양구,주교동,고양시 덕양구 주교동 594-4번지 ,기타,,폭력
경기고양경찰서,화정지구대,2024-12-21 12:32:00,2024-12-21,12,12시,7-토,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 976번지 ,슈퍼마켓,기타(기타절도),절도
경기고양경찰서,행신지구대,2024-12-21 10:58:00,2024-12-21,12,10시,7-토,경기,고양시,덕양구,행신동,고양시 덕양구 행신동 712번지 ,기타,기타(기타절도),절도
경기고양경찰서,행신3파출소,2024-12-21 04:00:00,2024-12-21,12,04시,7-토,경기,고양시,덕양구,행신동,고양시 덕양구 행신동 1081-1번지 ,승용차,강제추행,강간/강제추행
경기고양경찰서,화정지구대,2024-12-21 00:00:00,2024-12-21,12,00시,7-토,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 979-2번지 ,상점,기타(기타절도),절도
경기고양경찰서,화정지구대,2024-12-21 00:00:00,2024-12-21,12,00시,7-토,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 982번지 ,기타,기타(기타절도),절도
경기고양경찰서,행신지구대,2024-12-20 23:20:00,2024-12-20,12,23시,6-금,경기,고양시,덕양구,토당동,고양시 덕양구 토당동 867-5번지 ,기타,,폭력
경기고양경찰서,원당지구대,2024-12-20 19:30:00,2024-12-20,12,19시,6-금,경기,고양시,덕양구,성사동,고양시 덕양구 성사동 421-11번지 ,기타,기타(기타절도),절도
경기고양경찰서,화정지구대,2024-12-20 17:01:00,2024-12-20,12,17시,6-금,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 984-9번지 ,기타,기타(기타절도),절도
경기고양경찰서,화정지구대,2024-12-20 15:50:00,2024-12-20,12,15시,6-금,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 982번지 ,기타,기타(기타절도),절도
경기고양경찰서,신도지구대,2024-12-20 14:40:00,2024-12-20,12,14시,6-금,경기,고양시,덕양구,동산동,고양시 덕양구 동산동 370번지 ,기타,기타(기타절도),절도
경기고양경찰서,화정지구대,2024-12-20 11:00:00,2024-12-20,12,11시,6-금,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 966-3번지 ,기타,기타(기타절도),절도
경기고양경찰서,화정지구대,2024-12-20 10:00:00,2024-12-20,12,10시,6-금,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 1002-8번지 ,기타,기타(기타절도),절도
경기고양경찰서,신도지구대,2024-12-20 04:42:00,2024-12-20,12,04시,6-금,경기,고양시,덕양구,지축동,고양시 덕양구 지축동 924-2번지 ,기타,기타(기타절도),절도
경기고양경찰서,신도지구대,2024-12-20 03:18:00,2024-12-20,12,03시,6-금,경기,고양시,덕양구,신원동,고양시 덕양구 신원동 609번지 ,기타,기타(기타절도),절도
경기고양경찰서,신도지구대,2024-12-20 03:14:00,2024-12-20,12,03시,6-금,경기,고양시,덕양구,신원동,고양시 덕양구 신원동 611번지 ,기타,기타(기타절도),절도
경기고양경찰서,신도지구대,2024-12-20 02:56:00,2024-12-20,12,02시,6-금,경기,고양시,덕양구,신원동,고양시 덕양구 신원동 616번지 ,기타,기타(기타절도),절도
경기고양경찰서,신도지구대,2024-12-20 02:52:00,2024-12-20,12,02시,6-금,경기,고양시,덕양구,신원동,고양시 덕양구 신원동 653번지 ,기타,기타(기타절도),절도
경기고양경찰서,화정지구대,2024-12-20 01:50:00,2024-12-20,12,01시,6-금,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 965번지 ,기타,,폭력
경기고양경찰서,행신지구대,2024-12-20 00:00:00,2024-12-20,12,00시,6-금,경기,고양시,덕양구,행신동,고양시 덕양구 행신동 ,기타,,폭력
경기고양경찰서,도래울지구대,2024-12-19 22:03:00,2024-12-19,12,22시,5-목,경기,고양시,덕양구,원흥동,고양시 덕양구 원흥동 630번지 ,기타,,폭력
경기고양경찰서,화정지구대,2024-12-19 13:51:00,2024-12-19,12,13시,5-목,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 1008번지 ,기타,,마약
경기고양경찰서,행신3파출소,2024-12-19 09:00:00,2024-12-19,12,09시,5-목,경기,고양시,덕양구,행신동,고양시 덕양구 행신동 195-1번지 ,기타,,폭력
경기고양경찰서,도래울지구대,2024-12-19 07:30:00,2024-12-19,12,07시,5-목,경기,고양시,덕양구,원흥동,고양시 덕양구 원흥동 701번지 ,기타,기타(기타절도),절도
경기고양경찰서,화전파출소,2024-12-19 00:00:00,2024-12-19,12,00시,5-목,경기,고양시,덕양구,덕은동,고양시 덕양구 덕은동 679번지 ,기타,,폭력
경기고양경찰서,신도지구대,2024-12-18 19:23:00,2024-12-18,12,19시,4-수,경기,고양시,덕양구,동산동,고양시 덕양구 동산동 370번지 ,백화점,기타(기타절도),절도
경기고양경찰서,화정지구대,2024-12-18 19:20:00,2024-12-18,12,19시,4-수,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 1148-1번지 ,기타,,폭력
경기고양경찰서,원당지구대,2024-12-18 18:00:00,2024-12-18,12,18시,4-수,경기,고양시,덕양구,성사동,고양시 덕양구 성사동 132-13번지 ,기타,기타(기타절도),절도
경기고양경찰서,화정지구대,2024-12-18 17:56:00,2024-12-18,12,17시,4-수,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 964-3번지 ,주차장,,폭력
경기고양경찰서,원당지구대,2024-12-18 17:24:00,2024-12-18,12,17시,4-수,경기,고양시,덕양구,성사동,고양시 덕양구 성사동 163-4번지 ,기타,기타(갈취),폭력
경기고양경찰서,원당지구대,2024-12-18 17:00:00,2024-12-18,12,17시,4-수,경기,고양시,덕양구,주교동,고양시 덕양구 주교동 378-12번지 ,기타,기타(기타절도),절도
경기고양경찰서,행신지구대,2024-12-18 13:35:00,2024-12-18,12,13시,4-수,경기,고양시,덕양구,토당동,고양시 덕양구 토당동 597-1번지 ,기타,,폭력
경기고양경찰서,도래울지구대,2024-12-18 04:30:00,2024-12-18,12,04시,4-수,경기,고양시,덕양구,도내동,고양시 덕양구 도내동 1010번지 ,기타,,폭력
경기고양경찰서,행신지구대,2024-12-18 00:00:00,2024-12-18,12,00시,4-수,경기,고양시,덕양구,행신동,고양시 덕양구 행신동 702번지 ,아파트,,폭력
경기고양경찰서,도래울지구대,2024-12-17 22:02:00,2024-12-17,12,22시,3-화,경기,고양시,덕양구,도내동,고양시 덕양구 도내동 1006번지 ,아파트,야간주거침입절도,절도
경기고양경찰서,화정지구대,2024-12-17 20:35:00,2024-12-17,12,20시,3-화,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 1148-1번지 ,기타,,폭력
경기고양경찰서,관산파출소,2024-12-17 19:00:00,2024-12-17,12,19시,3-화,경기,고양시,덕양구,관산동,고양시 덕양구 관산동 180-1번지 ,노상,기타(기타절도),절도
경기고양경찰서,화전파출소,2024-12-17 18:00:00,2024-12-17,12,18시,3-화,경기,고양시,덕양구,덕은동,고양시 덕양구 덕은동 716번지 ,기타,,폭력
경기고양경찰서,신도지구대,2024-12-17 18:00:00,2024-12-17,12,18시,3-화,경기,고양시,덕양구,삼송동,고양시 덕양구 삼송동 368-7번지 ,기타,기타(기타절도),절도
경기고양경찰서,행신지구대,2024-12-17 17:00:00,2024-12-17,12,17시,3-화,경기,고양시,덕양구,행신동,고양시 덕양구 행신동 769번지 ,기타,,폭력
경기고양경찰서,행신지구대,2024-12-17 16:25:00,2024-12-17,12,16시,3-화,경기,고양시,덕양구,토당동,고양시 덕양구 토당동 36-17번지 ,기타,,폭력
경기고양경찰서,화정지구대,2024-12-17 10:56:00,2024-12-17,12,10시,3-화,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 998번지 ,아파트,기타(기타절도),절도
경기고양경찰서,원당지구대,2024-12-17 01:30:00,2024-12-17,12,01시,3-화,경기,고양시,덕양구,주교동,고양시 덕양구 주교동 567-3번지 ,기타,,폭력
경기고양경찰서,,2024-12-17 00:00:00,2024-12-17,12,00시,3-화,경기,고양시,덕양구,,고양시 덕양구 ,기타,,폭력
경기고양경찰서,원당지구대,2024-12-16 23:45:00,2024-12-16,12,23시,2-월,경기,고양시,덕양구,성사동,고양시 덕양구 성사동 724번지 ,기타,,폭력
경기고양경찰서,행신지구대,2024-12-16 22:00:00,2024-12-16,12,22시,2-월,경기,고양시,덕양구,행신동,고양시 덕양구 행신동 757번지 ,기타,,폭력
경기고양경찰서,신도지구대,2024-12-16 14:00:00,2024-12-16,12,14시,2-월,경기,고양시,덕양구,동산동,고양시 덕양구 동산동 370번지 ,대형할인매장,기타(기타절도),절도
경기고양경찰서,화전파출소,2024-12-16 12:52:00,2024-12-16,12,12시,2-월,경기,고양시,덕양구,덕은동,고양시 덕양구 덕은동 712번지 ,기타,,폭력
경기고양경찰서,화정지구대,2024-12-16 10:07:00,2024-12-16,12,10시,2-월,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 998번지 ,기타,기타(기타절도),절도
경기고양경찰서,도래울지구대,2024-12-16 01:20:00,2024-12-16,12,01시,2-월,경기,고양시,덕양구,원흥동,고양시 덕양구 원흥동 615번지 ,노상,,폭력
경기고양경찰서,화전파출소,2024-12-16 00:40:00,2024-12-16,12,00시,2-월,경기,고양시,덕양구,덕은동,고양시 덕양구 덕은동 710번지 ,아파트,,폭력
경기고양경찰서,화정지구대,2024-12-16 00:00:00,2024-12-16,12,00시,2-월,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 870번지 ,아파트,,폭력
경기고양경찰서,고양파출소,2024-12-15 21:40:00,2024-12-15,12,21시,1-일,경기,고양시,덕양구,고양동,고양시 덕양구 고양동 870-1번지 ,기타,,폭력
경기고양경찰서,신도지구대,2024-12-15 18:20:00,2024-12-15,12,18시,1-일,경기,고양시,덕양구,동산동,고양시 덕양구 동산동 370번지 ,기타,,폭력
